"","estimator","n","MSE"
"1","MAGIC",100,10.2845872669518
"2","RLTMLE 2",100,1.32574253159044
"3","RLTMLE 1",100,9.47024789070231
"4","WDR",100,25.5112210810238
"5","MAGIC",200,8.47604599969987
"6","RLTMLE 2",200,1.15696177928097
"7","RLTMLE 1",200,7.84056951006292
"8","WDR",200,29.7539396128389
"9","MAGIC",500,9.69909242177434
"10","RLTMLE 2",500,0.679017660261697
"11","RLTMLE 1",500,5.85951774626683
"12","WDR",500,36.8526776593979
