"","estimator","n","MSE"
"1","MAGIC",100,163.518588634133
"2","RLTMLE 2",100,8.95254915020124
"3","RLTMLE 1",100,68.0112182300562
"4","WDR",100,366.711235634156
"5","MAGIC",200,182.829569524995
"6","RLTMLE 2",200,3.33983677272131
"7","RLTMLE 1",200,23.796598118874
"8","WDR",200,661.375661995635
"9","MAGIC",500,72.1453148180989
"10","RLTMLE 2",500,5.5524819441579
"11","RLTMLE 1",500,19.6116546007426
"12","WDR",500,230.606817470192
"13","MAGIC",1000,99.1368532425951
"14","RLTMLE 2",1000,2.48455920060825
"15","RLTMLE 1",1000,5.10569815083808
"16","WDR",1000,302.686086954754
