"","estimator","n","MSE"
"1","MAGIC",100,0.849724797558948
"2","MAGIC_bootstrap",100,0.161019268996898
"3","MAGIC_LTMLE",100,0.398862594731292
"4","WDR",100,1.96324598369954
"5","MAGIC",500,0.760133444769115
"6","MAGIC_bootstrap",500,0.066513513123632
"7","MAGIC_LTMLE",500,0.382086700027699
"8","WDR",500,2.07668506054888
"9","MAGIC",1000,0.440932179362015
"10","MAGIC_bootstrap",1000,0.0925468160643233
"11","MAGIC_LTMLE",1000,0.258852189741906
"12","WDR",1000,1.292392730114
"13","MAGIC",5000,0.434748751922512
"14","MAGIC_bootstrap",5000,0.0658212875062965
"15","MAGIC_LTMLE",5000,0.298266902880465
"16","WDR",5000,1.40043273852541
"17","MAGIC",10000,0.449110523717238
"18","MAGIC_bootstrap",10000,0.100543670473416
"19","MAGIC_LTMLE",10000,0.338438689550761
"20","WDR",10000,1.06344152959534
